"ID","Type","SKU","Name","Published","Is featured?","Visibility in catalog","Short description","Description","Sale price","Regular price","Categories","Tags","Images","Stock","Weight (kg)","Length (cm)","Width (cm)","Height (cm)"
"","simple","NTP-SF001","Sofa Chu L Nordic Premium","1","1","visible","Sofa Chu L Nordic Premium - thiet ke dep, chat lieu ben, phu hop cho khong gian song hien dai.","<h3>Sofa Chu L Nordic Premium</h3><p>San pham sofa thiet ke hien dai, toi uu cho khong gian song tien nghi va tham my.</p><ul><li>Chat lieu ben dep, de bao tri</li><li>Thiet ke phu hop nhieu phong cach noi that</li><li>Kich thuoc: 280 x 170 x 85 cm</li><li>Khoi luong: 45 kg</li><li>Bao hanh 12 thang</li></ul>","15900000","18500000","Sofa","sofa, phong khach, nordic","","35","45","280","170","85"
"","simple","NTP-SF002","Sofa 3 Cho Milano Velvet","1","1","visible","Sofa 3 Cho Milano Velvet - thiet ke dep, chat lieu ben, phu hop cho khong gian song hien dai.","<h3>Sofa 3 Cho Milano Velvet</h3><p>San pham sofa thiet ke hien dai, toi uu cho khong gian song tien nghi va tham my.</p><ul><li>Chat lieu ben dep, de bao tri</li><li>Thiet ke phu hop nhieu phong cach noi that</li><li>Kich thuoc: 220 x 90 x 82 cm</li><li>Khoi luong: 38 kg</li><li>Bao hanh 12 thang</li></ul>","12500000","14900000","Sofa","sofa, velvet, milano","","28","38","220","90","82"
"","simple","NTP-SF003","Sofa Don Accent Chair Luna","1","0","visible","Sofa Don Accent Chair Luna - thiet ke dep, chat lieu ben, phu hop cho khong gian song hien dai.","<h3>Sofa Don Accent Chair Luna</h3><p>San pham sofa thiet ke hien dai, toi uu cho khong gian song tien nghi va tham my.</p><ul><li>Chat lieu ben dep, de bao tri</li><li>Thiet ke phu hop nhieu phong cach noi that</li><li>Kich thuoc: 78 x 82 x 92 cm</li><li>Khoi luong: 25 kg</li><li>Bao hanh 12 thang</li></ul>","","5900000","Sofa","sofa don, accent chair","","30","25","78","82","92"
"","simple","NTP-SF004","Sofa Bang 2 Cho Compact Urban","1","0","visible","Sofa Bang 2 Cho Compact Urban - thiet ke dep, chat lieu ben, phu hop cho khong gian song hien dai.","<h3>Sofa Bang 2 Cho Compact Urban</h3><p>San pham sofa thiet ke hien dai, toi uu cho khong gian song tien nghi va tham my.</p><ul><li>Chat lieu ben dep, de bao tri</li><li>Thiet ke phu hop nhieu phong cach noi that</li><li>Kich thuoc: 165 x 85 x 80 cm</li><li>Khoi luong: 30 kg</li><li>Bao hanh 12 thang</li></ul>","6900000","7900000","Sofa","sofa bang, nho gon, urban","","22","30","165","85","80"
"","simple","NTP-SF005","Sofa Goc Modulo Flex","1","1","visible","Sofa Goc Modulo Flex - thiet ke dep, chat lieu ben, phu hop cho khong gian song hien dai.","<h3>Sofa Goc Modulo Flex</h3><p>San pham sofa thiet ke hien dai, toi uu cho khong gian song tien nghi va tham my.</p><ul><li>Chat lieu ben dep, de bao tri</li><li>Thiet ke phu hop nhieu phong cach noi that</li><li>Kich thuoc: 300 x 190 x 88 cm</li><li>Khoi luong: 52 kg</li><li>Bao hanh 12 thang</li></ul>","17900000","19900000","Sofa","sofa goc, modular","","16","52","300","190","88"
"","simple","NTP-SF006","Sofa Bed Da Nang Smart Sleep","1","0","visible","Sofa Bed Da Nang Smart Sleep - thiet ke dep, chat lieu ben, phu hop cho khong gian song hien dai.","<h3>Sofa Bed Da Nang Smart Sleep</h3><p>San pham sofa thiet ke hien dai, toi uu cho khong gian song tien nghi va tham my.</p><ul><li>Chat lieu ben dep, de bao tri</li><li>Thiet ke phu hop nhieu phong cach noi that</li><li>Kich thuoc: 210 x 95 x 86 cm</li><li>Khoi luong: 42 kg</li><li>Bao hanh 12 thang</li></ul>","9900000","11200000","Sofa","sofa bed, thong minh","","20","42","210","95","86"
"","simple","NTP-BA001","Ban An Go Soi 6 Cho Osaka","1","1","visible","Ban An Go Soi 6 Cho Osaka - thiet ke dep, chat lieu ben, phu hop cho khong gian song hien dai.","<h3>Ban An Go Soi 6 Cho Osaka</h3><p>San pham ban thiet ke hien dai, toi uu cho khong gian song tien nghi va tham my.</p><ul><li>Chat lieu ben dep, de bao tri</li><li>Thiet ke phu hop nhieu phong cach noi that</li><li>Kich thuoc: 180 x 90 x 75 cm</li><li>Khoi luong: 55 kg</li><li>Bao hanh 12 thang</li></ul>","11900000","13500000","Ban","ban an, go soi, 6 cho","","24","55","180","90","75"
"","simple","NTP-BA002","Ban Lam Viec Standing Desk Pro","1","0","visible","Ban Lam Viec Standing Desk Pro - thiet ke dep, chat lieu ben, phu hop cho khong gian song hien dai.","<h3>Ban Lam Viec Standing Desk Pro</h3><p>San pham ban thiet ke hien dai, toi uu cho khong gian song tien nghi va tham my.</p><ul><li>Chat lieu ben dep, de bao tri</li><li>Thiet ke phu hop nhieu phong cach noi that</li><li>Kich thuoc: 140 x 70 x 75 cm</li><li>Khoi luong: 35 kg</li><li>Bao hanh 12 thang</li></ul>","","8900000","Ban","ban lam viec, standing desk","","20","35","140","70","75"
"","simple","NTP-BA003","Ban Tra Mat Da Marble Mini","1","0","visible","Ban Tra Mat Da Marble Mini - thiet ke dep, chat lieu ben, phu hop cho khong gian song hien dai.","<h3>Ban Tra Mat Da Marble Mini</h3><p>San pham ban thiet ke hien dai, toi uu cho khong gian song tien nghi va tham my.</p><ul><li>Chat lieu ben dep, de bao tri</li><li>Thiet ke phu hop nhieu phong cach noi that</li><li>Kich thuoc: 90 x 55 x 42 cm</li><li>Khoi luong: 18 kg</li><li>Bao hanh 12 thang</li></ul>","3200000","3800000","Ban","ban tra, mat da, mini","","30","18","90","55","42"
"","simple","NTP-BA004","Ban Console Entryway Slim","1","0","visible","Ban Console Entryway Slim - thiet ke dep, chat lieu ben, phu hop cho khong gian song hien dai.","<h3>Ban Console Entryway Slim</h3><p>San pham ban thiet ke hien dai, toi uu cho khong gian song tien nghi va tham my.</p><ul><li>Chat lieu ben dep, de bao tri</li><li>Thiet ke phu hop nhieu phong cach noi that</li><li>Kich thuoc: 120 x 35 x 82 cm</li><li>Khoi luong: 20 kg</li><li>Bao hanh 12 thang</li></ul>","","4600000","Ban","ban console, entryway","","26","20","120","35","82"
"","simple","NTP-BA005","Ban Hoc Sinh Ergofit","1","0","visible","Ban Hoc Sinh Ergofit - thiet ke dep, chat lieu ben, phu hop cho khong gian song hien dai.","<h3>Ban Hoc Sinh Ergofit</h3><p>San pham ban thiet ke hien dai, toi uu cho khong gian song tien nghi va tham my.</p><ul><li>Chat lieu ben dep, de bao tri</li><li>Thiet ke phu hop nhieu phong cach noi that</li><li>Kich thuoc: 110 x 60 x 73 cm</li><li>Khoi luong: 16 kg</li><li>Bao hanh 12 thang</li></ul>","2900000","3400000","Ban","ban hoc, tre em, ergonomic","","32","16","110","60","73"
"","simple","NTP-BA006","Ban Lam Viec Gaming Carbon X","1","1","visible","Ban Lam Viec Gaming Carbon X - thiet ke dep, chat lieu ben, phu hop cho khong gian song hien dai.","<h3>Ban Lam Viec Gaming Carbon X</h3><p>San pham ban thiet ke hien dai, toi uu cho khong gian song tien nghi va tham my.</p><ul><li>Chat lieu ben dep, de bao tri</li><li>Thiet ke phu hop nhieu phong cach noi that</li><li>Kich thuoc: 160 x 75 x 75 cm</li><li>Khoi luong: 28 kg</li><li>Bao hanh 12 thang</li></ul>","7600000","8900000","Ban","ban gaming, carbon, rgb","","18","28","160","75","75"
"","simple","NTP-GH001","Ghe An Go Tu Nhien Hana","1","1","visible","Ghe An Go Tu Nhien Hana - thiet ke dep, chat lieu ben, phu hop cho khong gian song hien dai.","<h3>Ghe An Go Tu Nhien Hana</h3><p>San pham ghe thiet ke hien dai, toi uu cho khong gian song tien nghi va tham my.</p><ul><li>Chat lieu ben dep, de bao tri</li><li>Thiet ke phu hop nhieu phong cach noi that</li><li>Kich thuoc: 45 x 50 x 82 cm</li><li>Khoi luong: 5 kg</li><li>Bao hanh 12 thang</li></ul>","1290000","1590000","Ghe","ghe an, japandi","","60","5","45","50","82"
"","simple","NTP-GH002","Ghe Van Phong Ergonomic Mesh","1","0","visible","Ghe Van Phong Ergonomic Mesh - thiet ke dep, chat lieu ben, phu hop cho khong gian song hien dai.","<h3>Ghe Van Phong Ergonomic Mesh</h3><p>San pham ghe thiet ke hien dai, toi uu cho khong gian song tien nghi va tham my.</p><ul><li>Chat lieu ben dep, de bao tri</li><li>Thiet ke phu hop nhieu phong cach noi that</li><li>Kich thuoc: 68 x 68 x 118 cm</li><li>Khoi luong: 18 kg</li><li>Bao hanh 12 thang</li></ul>","","4500000","Ghe","ghe van phong, ergonomic","","40","18","68","68","118"
